0,1,2,3,4,5,6,7,8,9,10,11,12
-283.54587,181.82266,-7.580789,29.640156,28.945433,16.320736,-10.533838,14.095072,-2.6742744,-9.55605,-10.319056,-7.4842973,-21.541828
-316.74014,165.32509,-26.140615,27.288109,19.621965,6.256985,-12.276853,10.031407,-5.2332973,0.8050586,-6.040307,-6.869408,-11.704778
-313.78806,94.39609,-26.005793,33.504005,25.380568,19.380558,-6.281697,5.4154224,-1.1980287,-5.422067,-5.4518666,-7.2114396,-17.110834
-297.44965,176.54465,-7.9202237,22.113478,31.633997,10.440816,-8.725036,7.672038,2.6712542,-9.212542,-15.264188,-9.371809,-14.6608515
-333.296,168.12404,-10.840221,16.909573,24.775478,15.415645,-9.45514,15.381898,-9.941,-5.1308517,-10.219396,-1.6849911,-13.402339
-295.04413,167.20454,-16.139475,15.606601,36.10714,26.222729,-6.6262326,1.1687523,-5.6145105,-9.66117,-11.718021,-7.937263,-16.380629
-282.50372,176.62674,-10.905199,22.476553,42.2179,12.106366,-18.77069,8.59425,-7.0550776,-12.175136,-14.23546,-5.8219314,-20.335918
-382.65176,110.77545,-23.1344,18.30755,26.387516,7.2545657,-0.33516398,6.002283,-3.1982973,-0.17112212,-5.5261703,-7.052435,-12.183557
-281.26572,167.64415,-17.736057,24.921824,16.121784,-0.6132444,-13.832577,12.809786,-3.4193265,-7.219412,-12.223512,-7.076489,-13.347499
-288.1811,146.28911,-21.6847,28.269825,26.851765,12.976513,-10.323954,10.217614,-14.164588,-12.634833,-6.6333847,-2.9818537,-17.176413
-290.55414,158.2329,-6.46444,24.611082,32.77369,17.349075,-11.002058,13.921203,-5.03951,-8.36303,-5.605176,-5.5771365,-22.373491
-276.17557,166.2561,-20.512857,19.992311,27.59248,12.727418,-10.195672,12.253893,-7.1948333,-11.725295,-9.36298,-5.0115585,-15.64297
-292.3437,172.37875,-17.087255,29.142677,36.05897,23.969004,-7.5704126,5.338001,1.2191333,-2.4115598,-14.92448,-6.5991716,-18.257666
-320.6932,182.16446,-11.15063,16.598835,29.700172,4.5946374,-10.993413,9.542995,4.561826,-5.2877836,-13.80206,-15.44574,-15.329472
