0,1,2,3,4,5,6,7,8,9,10,11,12
-357.80386,88.82658,-42.190205,62.562473,-26.762693,32.9229,-8.960253,-4.694426,10.051083,-11.022139,14.384981,-5.929372,0.027151534
-299.227,157.81602,-21.853638,69.26671,-17.692482,23.762442,-18.76235,4.5122128,10.357372,-26.118341,-1.4085876,-10.050965,-4.698975
-347.8317,135.8608,-38.96098,63.80509,-11.783989,53.48221,-14.337719,-1.9382424,4.0274825,-23.166008,8.579052,-9.658434,2.2339413
-307.4385,147.19221,-43.388397,81.32917,-6.924669,45.411564,-20.683844,-5.263046,2.560819,-24.409983,7.5061684,-10.945179,-0.6664863
-347.21475,128.52443,-35.745808,44.093403,-16.89365,41.020443,-17.15425,11.975398,13.186964,-21.758848,7.093605,-11.321773,0.8164437
-306.95837,139.18759,-44.422836,83.18264,-14.734461,40.98479,-10.144612,-4.472734,0.8957291,-26.059109,7.986773,-11.136729,-1.2062645
-360.6952,96.068565,-59.509014,65.19752,-17.990768,36.10317,-8.144272,-1.5235649,6.2274256,-12.546196,15.631835,-10.29415,-3.411508
-339.77322,137.3024,-29.15386,71.27751,-12.069886,38.573654,-18.951088,-1.7101359,12.587737,-16.515371,8.350451,-10.920344,-7.75459
-327.95645,115.710785,-46.637886,87.589134,-13.385969,52.383694,-12.7123165,-4.968152,1.8386922,-24.19741,9.912333,-11.001539,-6.424871
-388.63596,107.9907,-55.78951,54.146805,-20.582031,36.84745,-15.710656,0.99563015,11.462665,-13.592633,14.126569,-4.7003303,2.5945308
-297.3184,157.68747,-32.61562,66.017006,1.7105119,35.504017,-12.25031,-9.61962,10.598701,-29.76356,4.4264984,-1.0825138,-12.319364
-313.2478,142.3803,-34.08949,67.31077,0.07760259,44.189007,-12.757396,-6.507865,2.214814,-26.588291,8.162477,-5.3260403,-5.715971
-363.5155,117.081665,-48.200077,78.34336,-21.669415,38.165524,-11.945739,4.601986,7.033955,-21.857084,11.41456,-7.854982,2.3524423
